|        a         |        b         |opcod|       out        |zer|
| 0000000000000101 | 0000000000000011 | 000 | 0000000000001000 | 0 |
| 0000000000000101 | 0000000000000011 | 001 | 0000000000000010 | 0 |
| 0000000000001111 | 0000000000000011 | 010 | 0000000000000011 | 0 |
| 0000000000001111 | 0000000000000011 | 011 | 0000000000001111 | 0 |
| 0000000000001111 | 0000000000000011 | 100 | 1111111111110000 | 0 |
| 0000000000001111 | 0000000000000011 | 101 | 1111111111111100 | 0 |
| 0000000000001111 | 0000000000000011 | 110 | 0000000000001100 | 0 |
| 0000000000001111 | 0000000000000011 | 111 | 1111111111110011 | 0 |
| 0000000000000000 | 0000000000000000 | 000 | 0000000000000000 | 1 |
| 0000000000000001 | 0000000000000001 | 000 | 0000000000000010 | 0 |
| 1111111111111111 | 0000000000000001 | 000 | 0000000000000000 | 1 |
| 0000000000000011 | 0000000000000101 | 001 | 1111111111111110 | 0 |
| 0000000000100011 | 0000000010000101 | 001 | 1111111110011110 | 0 |
| 0000000001000011 | 0000011000000101 | 011 | 0000011001000111 | 0 |
| 0000000000101011 | 0000000000110101 | 101 | 1111111111001010 | 0 |
| 0000000000001111 | 0000000000000011 | 111 | 1111111111110011 | 0 |
| 0000000000000000 | 0000000000000000 | 000 | 0000000000000000 | 1 |
